Transect,Abudefduf_sexfasciatus,Abudefduf_vaigiensis,Acanthurus_cf_maculiceps,Acanthurus_cf_nigrofuscus,Acanthurus_dussumieri,Acanthurus_japonicus,Acanthurus_lineatus,Acanthurus_nigricans,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_thompsoni,Acanthurus_xanthopterus,Amphiprion_clarkii,Amphiprion_frenatus,Anampses_cf_caeruleopunctatus,Anampses_cf_melanurus,Anampses_cf_twistii,Apolemichthys_trimaculatus,Archamia_bleekeri,Arothron_cf_mappa,Arothron_nigropunctatus,Aulostomus_chinensis,Balistoides_conspicillum,Bodianus_axillaris,Bodianus_cf_dictynna,Bodianus_mesothorax,Bolbometopon_muricatum,Caesio_teres,Calotomus_carolinus,Cantherhines_dumerilii,Cantherhines_pardalis,Centropyge_bicolor,Centropyge_cf_ferrugata,Centropyge_heraldi,Centropyge_vrolikii,Cephalopholis_argus,Cephalopholis_boenak,Cephalopholis_cf_leopardus,Cephalopholis_spiloparaea,Cephalopholis_urodeta,Chaetodon_argentatus,Chaetodon_auripes,Chaetodon_cf_auriga,Chaetodon_cf_citrinellus,Chaetodon_cf_octofasciatus,Chaetodon_cf_trifascialis,Chaetodon_cf_vagabundus,Chaetodon_kleinii,Chaetodon_lineolatus,Chaetodon_lunulatus,Chaetodon_melannotus,Chaetodon_ornatissimus,Chaetodon_punctatofasciatus,Chaetodon_reticulatus,Chaetodon_speculum,Chaetodon_unimaculatus,Cheilinus_cf_trilobatus,Cheilinus_chlorourus,Cheilinus_fasciatus,Cheilodipterus_macrodon,Chlorurus_cf_sordidus,Chromis_cf_chrysura,Chromis_cf_ovatiformis,Chromis_cf_vanderbilti,Chromis_fumea,Chromis_lepidolepis,Chromis_margaritifer,Chromis_notata,Chromis_xanthura,Chrysiptera_cf_unimaculata,Chrysiptera_rex,Cirrhilabrus_cf_exquisitus,Coris_cf_aygula,Coris_cf_dorsomacula,Coris_cf_gaimard,Ctenochaetus_cf_binotatus,Ctenochaetus_cf_striatus,Dascyllus_reticulatus,Dascyllus_trimaculatus,Diodon_cf_holocanthus,Diodon_cf_liturosus,Diploprion_bifasciatum,Epibulus_cf_insidiator,Epinephelus_coeruleopunctatus,Fistularia_cf_commersoni,Forcipiger_flavissimus,Genicanthus_watanabei,Gnathodentex_aureolineatus,Gomphosus_varius,Halichoeres_cf_margaritaceus,Halichoeres_cf_melanochir,Halichoeres_cf_nebulosus,Halichoeres_cf_scapularis,Halichoeres_chrysus,Halichoeres_hartzfeldii,Halichoeres_hortulanus,Hemigymnus_fasciatus,Hemigymnus_melapterus,Hemitaurichthys_polylepis,Heniochus_acuminatus,Heniochus_monoceros,Heniochus_varius,Hipposcarus_cf_longiceps,Hologymnosus_cf_annulatus,Hologymnosus_cf_rhodonotus,Iniistius_pavo,Labracinus_cyclophthalmus,Labroides_bicolor,Labroides_dimidiatus,Lactoria_cf_fornasini,Lutjanus_cf_fulviflamma,Lutjanus_cf_ophuysenii,Lutjanus_cf_vitta,Macropharyngodon_negrosensis,Meiacanthus_grammistes,Melichthys_cf_vidua,Monotaxis_grandoculis,Myripristis_kuntee,Naso_brevirostris,Naso_cf_annulatus,Naso_hexacanthus,Naso_lituratus,Nemateleotris_magnifica,Neoglyphidodon_melas,Neoglyphidodon_nigroris,Neopomacentrus_azysron,Neopomacentrus_cyanomos,Odonus_niger,Ostorhinchus_cookii,Oxycheilinus_unifasciatus,Paraluteres_cf_prionurus,Parupeneus_barberinus,Parupeneus_indicus,Parupeneus_multifasciatus,Parupeneus_pleurostigma,Petroscirtes_breviceps,Plectorhinchus_lessonii,Plectroglyphidodon_cf_imparipennis,Plectroglyphidodon_cf_lacrymatus,Plectroglyphidodon_dickii,Plectroglyphidodon_johnstonianus,Pomacanthus_imperator,Pomacanthus_semicirculatus,Pomacentrus_bankanensis,Pomacentrus_chrysurus,Pomacentrus_coelestis,Pomacentrus_lepidogenys,Pomacentrus_philippinus,Pomachromis_cf_richardsoni,Pseudanthias_cf_pleurotaenia,Pseudanthias_dispar,Pseudanthias_pascalus,Pseudanthias_squamipinnis,Pseudolabrus_cf_eoethinus,Ptereleotris_evides,Pterocaesio_tile,Pygoplites_diacanthus,Rhabdamia_gracilis,Rhinecanthus_cf_rectangulus,Sargocentron_caudimaculatum,Sargocentron_melanospilos,Scarus_cf_festivus,Scarus_cf_forsteni,Scarus_cf_frenatus,Scarus_cf_schlegeli,Scarus_rubroviolaceus,Scolopsis_bilineata,Siganus_fuscescens,Stegastes_cf_nigricans,Stegastes_cf_obreptus,Stethojulis_cf_interrupta,Stethojulis_cf_trilineata,Stethojulis_strigiventer,Sufflamen_bursa,Sufflamen_chrysopterum,Thalassoma_cf_amblycephalum,Thalassoma_cf_hardwicke,Thalassoma_cf_jansenii,Thalassoma_cf_lunare,Thalassoma_lutescens,Thalassoma_quinquevittatum,Zanclus_cornutus,Zebrasoma_cf_flavescens,Zebrasoma_scopas
E_JH_15_T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_JH_15_T2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_JH_15_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_JH_15_T4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E_JH_15_T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E_JH_5_T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E_JH_5_T2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
E_JH_5_T3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E_JH_5_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
E_JH_5_T5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
