Region,Area,Depth,Transect,Family,Species,Length,Number,a,b,lev,diet
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,10,88,0.01479,2.92,BP,PL
N,LD,5,T1,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
N,LD,5,T1,Apogonidae,Rhabdamia_gracilis,5,441,0.01047,3.1,BP,PL
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,10,14,0.01479,2.92,BP,PL
N,LD,5,T1,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
N,LD,5,T1,Apogonidae,Rhabdamia_gracilis,5,550,0.01047,3.1,BP,PL
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,10,6,0.01479,2.92,BP,PL
N,LD,5,T1,Apogonidae,Rhabdamia_gracilis,5,600,0.01047,3.1,BP,PL
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,10,35,0.01479,2.92,BP,PL
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,5,8,0.01479,2.92,BP,PL
N,LD,5,T2,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
N,LD,5,T2,Labridae,Halichoeres_cf_melanochir,10,1,0.01,3.08,BP,MI
N,LD,5,T2,Pomacentridae,Stegastes_cf_obreptus,10,1,0.01995,2.99,BP,HD
N,LD,5,T2,Labridae,Halichoeres_cf_melanochir,10,1,0.01,3.08,BP,MI
N,LD,5,T2,Sphyraenidae,Sphyraena_flavicauda,10,1,0.00813,2.88,P,PI
N,LD,5,T2,Chanidae,Mugil_cf_cephalus,55,1,0.00851,3.06,P,O
N,LD,5,T2,Labridae,Halichoeres_cf_melanochir,10,1,0.01,3.08,BP,MI
N,LD,5,T2,Aulostomidae,Aulostomus_chinensis,70,1,0.002,3.2,BP,PI
N,LD,5,T2,Labridae,Halichoeres_cf_melanochir,10,1,0.01,3.08,BP,MI
N,LD,5,T2,Sphyraenidae,Sphyraena_flavicauda,10,1,0.00813,2.88,P,PI
N,LD,5,T2,Pomacentridae,Pomacentrus_coelestis,10,15,0.01479,2.92,BP,PL
N,LD,5,T2,Sphyraenidae,Sphyraena_flavicauda,10,50,0.00813,2.88,P,PI
N,LD,5,T2,Aulostomidae,Aulostomus_chinensis,70,1,0.002,3.2,BP,PI
N,LD,5,T2,Pomacentridae,Pomacentrus_coelestis,10,50,0.01479,2.92,BP,PL
N,LD,5,T2,,unknown,20,3,,,,
N,LD,5,T3,Pomacentridae,Pomacentrus_coelestis,10,50,0.01479,2.92,BP,PL
N,LD,5,T3,Apogonidae,Rhabdamia_gracilis,5,200,0.01047,3.1,BP,PL
N,LD,5,T3,Pomacentridae,Chromis_notata,10,3,0.0166,3.04,BP,O
N,LD,5,T3,,unknown,10,1,,,,
N,LD,5,T4,Pomacentridae,Stegastes_cf_obreptus,10,1,0.01995,2.99,BP,HD
N,LD,5,T4,Fistulariidae,Fistularia_cf_commersoni,100,1,0.0024,2.94,BP,PI
